time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-08T16:15:12.040Z,35.9353333,-117.6986667,2.23,2.54,ml,27,58,0.04114,0.14,ci,ci38488815,2019-07-08T16:18:59.684Z,"19km E of Little Lake, CA",earthquake,0.19,0.34,0.172,25,automatic,ci,ci
2019-07-08T16:11:32.540Z,35.8743333,-117.6856667,8.43,2.66,ml,29,45,0.0788,0.18,ci,ci38488783,2019-07-08T16:15:33.223Z,"21km ESE of Little Lake, CA",earthquake,0.26,0.64,0.188,25,automatic,ci,ci
2019-07-08T16:09:57.620Z,35.6204987,-117.4311676,2.31,3.33,ml,57,61,0.04231,0.16,ci,ci38488767,2019-07-08T16:12:07.230Z,"16km S of Searles Valley, CA",earthquake,0.2,0.38,0.233,22,automatic,ci,ci
2019-07-08T16:04:28.110Z,35.6790009,-117.5121689,1.91,3.83,mw,66,45,0.1531,0.2,ci,ci38488719,2019-07-08T16:17:12.718Z,"14km SW of Searles Valley, CA",earthquake,0.18,0.55,,6,automatic,ci,ci
2019-07-08T15:37:35.174Z,69.595,-144.1932,0,2.6,ml,,,,0.62,ak,ak0198otq3mm,2019-07-08T16:10:44.740Z,"63km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-07-08T15:35:47.970Z,35.9118333,-117.7366667,2.31,2.6,ml,29,37,0.07569,0.2,ci,ci38488519,2019-07-08T15:46:53.540Z,"16km E of Little Lake, CA",earthquake,0.23,0.43,0.116,25,automatic,ci,ci
2019-07-08T15:03:52.060Z,35.6771667,-117.5565,8.36,2.47,ml,31,59,0.1187,0.14,ci,ci38488191,2019-07-08T15:15:03.420Z,"12km ENE of Ridgecrest, CA",earthquake,0.23,0.84,0.12,25,reviewed,ci,ci
2019-07-08T14:55:07.770Z,35.5455,-117.3466667,4.68,2.47,ml,28,76,0.02515,0.21,ci,ci38488119,2019-07-08T15:13:06.815Z,"24km S of Trona, CA",earthquake,0.33,0.65,0.124,25,reviewed,ci,ci
2019-07-08T14:52:54.750Z,36.0381667,-117.3536667,4.1,2.61,ml,24,58,0.1115,0.2,ci,ci38488095,2019-07-08T15:13:09.848Z,"30km N of Searles Valley, CA",earthquake,0.32,1.1,0.192,25,reviewed,ci,ci
2019-07-08T14:31:01.360Z,35.6590004,-117.4861679,3.71,3.18,ml,59,64,0.1665,0.14,ci,ci38487839,2019-07-08T15:08:33.040Z,"14km SSW of Searles Valley, CA",earthquake,0.18,0.71,0.263,18,reviewed,ci,ci
2019-07-08T14:27:20.220Z,35.7741667,-117.6045,8.72,2.61,ml,29,53,0.04187,0.16,ci,ci38487807,2019-07-08T15:14:02.893Z,"18km W of Searles Valley, CA",earthquake,0.23,0.6,0.145,25,reviewed,ci,ci
2019-07-08T14:09:19.620Z,35.5846667,-117.374,2.69,2.85,ml,30,74,0.06008,0.2,ci,ci38487615,2019-07-08T14:20:29.870Z,"20km S of Trona, CA",earthquake,0.31,0.48,0.193,25,automatic,ci,ci
2019-07-08T13:58:19.250Z,35.5589981,-117.3939972,2.06,3.02,ml,46,49,0.04161,0.16,ci,ci38487519,2019-07-08T14:58:03.354Z,"23km S of Trona, CA",earthquake,0.2,0.34,0.266,24,reviewed,ci,ci
2019-07-08T13:57:15.220Z,35.9423333,-117.7213333,1.41,2.45,ml,29,43,0.05784,0.19,ci,ci38487503,2019-07-08T14:08:09.970Z,"17km E of Little Lake, CA",earthquake,0.23,0.4,0.2,25,automatic,ci,ci
